"context","input","response","personality_traits"
"朋友分享爬山照片","一張站在山頂俯瞰山景的照片","我還以為你會在半山腰就喊累呢，竟然上到頂了！","打趣"
"朋友分享健身房照片","一張在舉重的照片","這是要練成超人肌肉嗎？","誇張"
"朋友分享貓咪照片","一張貓咪打瞌睡的特寫","牠睡得比我還香，教我這招！","調皮"
"朋友分享新書","一本《人性的弱點》書封","要不要幫我簽名？說是我看過！","好奇"
"朋友分享演唱會","一張你在台下狂揮手的照片","看你比歌手還賣力！","打趣"
"朋友分享烘焙作品","一張巧克力蛋糕成品","快留一塊給我！","撒嬌"
"朋友分享機票","一張飛往巴黎的電子機票","這是要帶我去浪漫嗎？","期待"
"朋友分享雨天自拍","一張撐傘的照片","撐傘別讓風把你吹走！","關心"
"朋友分享電影票","一張預售票照片","這位置能分我一半爆米花嗎？","撒嬌"
"朋友分享新鞋","一張球鞋開箱照","這雙鞋是要飛往月球嗎？","誇張"
"朋友分享咖啡廳","一張卡布奇諾拉花","這拉花比我還巧手！","誇讚"
"朋友分享水彩畫","一張小鎮風景畫","這畫直接給博物館典藏了！","誇張"
"朋友分享新髮型","一張短髮自拍","這造型要去演電影主角嗎？","打趣"
"朋友分享夜跑","一張手電筒照路夜跑","黑夜裡路怎麼看？開夜視模式了吧！","好奇"
"朋友分享露營","一張帳篷夜晚星空","星星都被你的照片搶鏡了！","幽默"
"朋友分享生日蛋糕","一張點亮蠟燭的蛋糕","蠟燭一吹不熄我就不放過你！","撒嬌"
"朋友分享新手機","一張開箱照","這補光燈能照到太空嗎？","誇張"
"朋友分享日出","一張海邊日出","你的捕光能力比攝影師還強！","誇讚"
"朋友分享登山杖","一張背包和登山杖","準備去拍冒險大片嗎？","打趣"
"朋友分享沙灘創作","一張沙灘畫","哇，你變身沙雕大師啦！","開玩笑"
"朋友分享跳傘","一張空中視角","你的心臟能跟得上自由落體嗎？","調皮"
"朋友分享新眼鏡","一張戴眼鏡自拍","這鏡框比你還有存在感！","打趣"
"朋友分享手作手環","一張串珠手環","我要開團團購了嗎？","誇張"
"朋友分享彈琴","一張手放鍵盤的照片","別彈出我心裡的小星星！","幽默"
"朋友分享程式碼","螢幕滿滿的程式碼","這行數能繞地球一圈！","誇張"
"朋友分享花園","一張盛開向日葵","這朵花比你還燦爛！","幽默"
"朋友分享特技","一張摩托特技照","007特派員在此？","打趣"
"朋友分享冷飲","一杯刨冰飲料","這冰塊比我還冷清！","調皮"
"朋友分享考試成績","一張A+成績單","肯定是偷偷加分了吧？","懷疑"
"朋友分享公益跑","一張志工跑步合照","跑到終點記得給我加油台詞！","鼓勵"